feature,n_rows,n_train,n_test,intercept,slope,all_pearson,all_spearman,test_pearson,test_spearman,test_r2,test_mae,test_rmse,draw_id
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19771328819183148,0.5903477315666483,0.8197844276556339,0.7870661041864422,0.7989768239561252,0.7741481694827328,0.6253931225822811,0.24667304473628202,0.4020722607634717,62
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19882921855941132,0.5916421075707219,0.8231073558455564,0.7863318897638216,0.8017363210899033,0.7672634735787514,0.6316554935170491,0.24584452211356714,0.3986973391654546,63
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19740421347720022,0.5897535420146047,0.8180219237713033,0.7865006596825918,0.7970786608643977,0.7761529187278029,0.6237673347716484,0.24489147043086898,0.40294380972599353,64
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19717712254073555,0.5893110531659003,0.8231601443935336,0.7895641331758454,0.7937717902497345,0.7793429150573502,0.618776359853543,0.2457157054175671,0.4056076623409016,65
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19781961366194628,0.5899215143546551,0.8219281789114528,0.7868245684127037,0.7931859671322891,0.7734195478085912,0.6191109491331133,0.2476446526054196,0.4054296280429755,66
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19403431575150426,0.5843285740254336,0.8168220360120488,0.7845576339732919,0.7901968003859443,0.7707661574838153,0.6117303457401966,0.24882541422720522,0.40933884818993227,67
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19771837165386824,0.5875077431104371,0.8231704950730794,0.7902291661833056,0.7975995279344856,0.7803431904008699,0.6258797954880296,0.24383098865047848,0.40181099851422153,68
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19761792077184276,0.5889499765878768,0.8237875085328142,0.7867912500911607,0.8024133269492711,0.7766070567849731,0.6328095742007334,0.24433410630924982,0.3980722587458276,69
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19831023582060087,0.5895483410094483,0.8273209049778488,0.790342052834915,0.8103811940887139,0.7784146986408592,0.6490267876478563,0.24100304929413957,0.389182428767038,70
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.1957790660176842,0.5863815644492641,0.8212575277706534,0.7862380677385588,0.8016061818312332,0.7725787074458207,0.6340448697148516,0.2440036718531359,0.39740210082340394,71
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19809702312976346,0.5878290822970021,0.8188662579789104,0.7861793181371896,0.7950890876838943,0.7675360512768096,0.6204096980995821,0.24738349822577269,0.4047378243110292,72
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19799227117282597,0.5883811315065506,0.8215939146933505,0.7866714512890279,0.7971665971710797,0.7734033663250359,0.6257747622856151,0.24481819971427052,0.40186739821372686,73
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19856266822533558,0.5918510145922946,0.8205162653065892,0.7876208836173126,0.7964989517124205,0.774037679722935,0.6184155271808476,0.24750452074532148,0.4057995731588593,74
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.1971596407810789,0.5877476802496417,0.8207800539113245,0.7854325681536327,0.7962870086193393,0.7708751057455092,0.6239976133248865,0.24553262467750567,0.40282047710668767,75
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.20079273916519785,0.5925448812932465,0.82210049307822,0.7863868848326168,0.794002778223703,0.7669013096183761,0.6146697824101277,0.249444016216074,0.40778643280587223,76
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19897850869522465,0.5914413058590358,0.8221210039456168,0.7871138228651458,0.7926409848650334,0.7732978408720389,0.6165827909038852,0.246214054952344,0.406772926073685,77
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19682530493299494,0.5893679815854164,0.8212522110661593,0.7866105737522319,0.7958163915321799,0.7709431314400473,0.622263047013734,0.2464152664211347,0.40374854947854344,78
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19845667715799126,0.5898115001181009,0.8220276360471447,0.7877528120991163,0.7976547695920813,0.7748073328065841,0.6257533236164152,0.24374213076401777,0.4018789091675005,79
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19676998984935562,0.58936717705615,0.8238774152041719,0.7865708588713863,0.8037444889429729,0.772548438662094,0.6345992114942858,0.24524836256936092,0.3971009982318765,80
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.1970573731586816,0.588726981786023,0.8198853653698849,0.7843797313802195,0.7917788923916795,0.77197517847582,0.6164734347648827,0.24710316928933365,0.4068309307018497,81
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.20177247289683847,0.5926954817118425,0.8241782650069157,0.787928155596667,0.7982635021772477,0.7713611157573531,0.6247160249903014,0.24706310201445422,0.4024354671918413,82
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19671035932500552,0.5894773284821568,0.8231203265352532,0.7883250122636133,0.8062486077694158,0.7730720540733169,0.6410148769910253,0.24366630501360095,0.3935994330586306,83
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19773896259311813,0.5883175633779629,0.8242982358780053,0.7876065808121804,0.8006064718178483,0.7715727958899745,0.6280517830594952,0.24633101442831504,0.4006429262609625,84
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19892294501811553,0.5894791706821229,0.8257870982082403,0.7882707000597644,0.8025032299503879,0.7764327602259458,0.6332458651579835,0.2450170541167678,0.39783569627716303,85
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.20006572166269493,0.5926407830035803,0.8232703941626437,0.7879787263104313,0.7929482248708187,0.7732212639620111,0.616193800555439,0.24609099181795774,0.40697921654027075,86
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19682459078552478,0.5899364080582769,0.8188155048640057,0.7865866305632175,0.7969853315720413,0.7755418530598056,0.6234943776995954,0.2467249959649089,0.4030899512377554,87
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.198239292654309,0.5910734303261641,0.8238153650285255,0.7890898482550612,0.7962213312039411,0.7765327147579723,0.6223552624187786,0.24541032561802079,0.4036992637145694,88
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.19740222221867515,0.5899822631484926,0.8207208193711829,0.7885950774647554,0.7945900843364232,0.7739456919763126,0.6171873931536611,0.24563181394254674,0.40645208385580256,89
random_permuted_shock_weighted_sector_exposure,43200,28800,9600,-0.1961265515455422,0.5864595731989757,0.8228270768136668,0.7888214795794198,0.8003367882651445,0.7730957917707473,0.62950319114852,0.2454401995994346,0.3998604722222512,90
