country,scenario_name,shock_multiplier,density_label,interbank_liability_scale,x,y,n,spearman_rho,p_value
Italy,disorderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8247455772201446,1.2016383797970779e-90
Italy,disorderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8840864824115485,2.5171819642995984e-120
Italy,orderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.4104350228826538,4.624431498583316e-16
Italy,orderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.5130346635241826,1.4666757849552835e-25
Italy,orderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.5915470071998947,2.3475284736253468e-35
Italy,orderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6529898628177909,3.979163707330251e-45
Italy,severe_disorderly_transition,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7761440523635984,1.0837814268519506e-73
Italy,severe_disorderly_transition,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8794241518983031,1.888783483166299e-117
Italy,severe_disorderly_transition,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9332888371052244,2.7111361104560755e-161
Italy,severe_disorderly_transition,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9564729151716704,1.4311754500029184e-193
Spain,acute_physical_risk,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.5907019974998313,3.0945460142442685e-35
Spain,acute_physical_risk,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7264240248923335,2.810498187123524e-60
Spain,acute_physical_risk,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.791795204181102,1.1852941702432248e-78
Spain,acute_physical_risk,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8327932057088918,5.799477890600749e-94
Spain,combined_transition_physical,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8114515294261243,1.5933497717690926e-85
Spain,combined_transition_physical,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9253006067433648,8.076186677654485e-153
