country,sector,scenario_name,temp_component_raw,drought_component_raw,excess_precip_component_raw,wildfire_component_raw,physical_risk_raw,transition_risk_raw,physical_intensity,transition_intensity,temp_component_scenario,drought_component_scenario,excess_precip_component_scenario,wildfire_component_scenario,transition_component_scenario,raw_shock,shock_index_norm,total_shock,temp_component_share,temp_component_financial_contribution,drought_component_share,drought_component_financial_contribution,excess_precip_component_share,excess_precip_component_financial_contribution,wildfire_component_share,wildfire_component_financial_contribution,transition_component_share,transition_component_financial_contribution,check_sum_financial_contributions,decomposition_error
Germany,utilities,severe_disorderly_transition,0.4617927994121946,0.0,0.4,0.0,0.8617927994121946,0.8,0.0,1.5,0.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,0.7034382022471919,0.28730651685393294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.28730651685393294,0.28730651685393294,0.0
Germany,utilities,acute_physical_risk,0.4617927994121946,0.0,0.4,0.0,0.8617927994121946,0.8,1.0,0.0,0.4617927994121946,0.0,0.4,0.0,0.0,0.8617927994121946,0.4965617977528081,0.2086934831460671,0.53585130872197,0.11182867606556643,0.0,0.0,0.4641486912780301,0.09686480708050067,0.0,0.0,0.0,0.0,0.20869348314606712,-2.7755575615628914e-17
Germany,utilities,combined_transition_physical,0.4617927994121946,0.0,0.4,0.0,0.8617927994121946,0.8,1.0,1.0,0.4617927994121946,0.0,0.4,0.0,0.8,1.6617927994121946,0.9859101123595503,0.3946458426966291,0.27788831410001225,0.1096674678935449,0.0,0.0,0.24070389529999592,0.09499279160102807,0.0,0.0,0.48140779059999184,0.18998558320205614,0.39464584269662906,5.551115123125783e-17
Germany,energy_intensive,orderly_transition,0.2308963997060973,0.0,0.2,0.0,0.4308963997060973,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.4,0.21408988764044973,0.1013541573033709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1013541573033709,0.1013541573033709,0.0
Germany,energy_intensive,disorderly_transition,0.2308963997060973,0.0,0.2,0.0,0.4308963997060973,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4587640449438208,0.19433033707865188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19433033707865188,0.19433033707865188,0.0
Germany,energy_intensive,severe_disorderly_transition,0.2308963997060973,0.0,0.2,0.0,0.4308963997060973,0.8,0.0,1.5,0.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,0.7034382022471919,0.28730651685393294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.28730651685393294,0.28730651685393294,0.0
Germany,energy_intensive,acute_physical_risk,0.2308963997060973,0.0,0.2,0.0,0.4308963997060973,0.8,1.0,0.0,0.2308963997060973,0.0,0.2,0.0,0.0,0.4308963997060973,0.2329887640449434,0.1085357303370785,0.53585130872197,0.058159013144218334,0.0,0.0,0.4641486912780301,0.050376717192860174,0.0,0.0,0.0,0.0,0.1085357303370785,0.0
Germany,energy_intensive,combined_transition_physical,0.2308963997060973,0.0,0.2,0.0,0.4308963997060973,0.8,1.0,1.0,0.2308963997060973,0.0,0.2,0.0,0.8,1.2308963997060973,0.7223370786516855,0.2944880898876405,0.18758394269511935,0.05524123697787832,0.0,0.0,0.16248321146097613,0.04784937058195244,0.0,0.0,0.6499328458439045,0.19139748232780976,0.2944880898876405,0.0
Germany,transportation,orderly_transition,0.30786186627479645,0.0,0.5,0.0,0.8078618662747965,0.7,0.0,0.5,0.0,0.0,0.0,0.0,0.35,0.35,0.1835056179775283,0.08973213483146075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08973213483146075,0.08973213483146075,0.0
Germany,transportation,disorderly_transition,0.30786186627479645,0.0,0.5,0.0,0.8078618662747965,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.39759550561797796,0.17108629213483162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17108629213483162,0.17108629213483162,0.0
